9.60	9.53	9.43	9.32	9.17	9.00	8.79	8.55	8.33	8.21	8.44	9.43	0.00	0.00	0.00	0.00	0.00	0.00	9.43	8.44	8.21	8.33	8.55	8.79	9.00	9.17	9.32	9.43	9.53	9.60
9.56	9.46	9.35	9.19	8.99	8.73	8.38	7.92	7.35	6.71	6.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.23	6.71	7.35	7.92	8.38	8.73	8.99	9.19	9.35	9.46	9.56
9.52	9.41	9.27	9.08	8.82	8.47	7.96	7.23	6.16	4.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.58	6.16	7.23	7.96	8.47	8.82	9.08	9.27	9.41	9.52
9.49	9.37	9.21	9.00	8.69	8.26	7.61	6.61	5.00	2.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.22	5.00	6.61	7.61	8.26	8.69	9.00	9.21	9.37	9.49
9.47	9.35	9.18	8.95	8.62	8.14	7.41	6.24	4.25	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	4.25	6.24	7.41	8.14	8.62	8.95	9.18	9.35	9.47
9.47	9.35	9.18	8.95	8.62	8.14	7.41	6.24	4.25	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	4.25	6.24	7.41	8.14	8.62	8.95	9.18	9.35	9.47
9.49	9.37	9.21	9.00	8.69	8.26	7.61	6.61	5.00	2.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.22	5.00	6.61	7.61	8.26	8.69	9.00	9.21	9.37	9.49
9.52	9.41	9.27	9.08	8.82	8.47	7.96	7.23	6.16	4.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.58	6.16	7.23	7.96	8.47	8.82	9.08	9.27	9.41	9.52
9.56	9.46	9.35	9.19	8.99	8.73	8.38	7.92	7.35	6.71	6.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.23	6.71	7.35	7.92	8.38	8.73	8.99	9.19	9.35	9.46	9.56
9.60	9.53	9.43	9.32	9.17	9.00	8.79	8.55	8.33	8.21	8.44	9.43	0.00	0.00	0.00	0.00	0.00	0.00	9.43	8.44	8.21	8.33	8.55	8.79	9.00	9.17	9.32	9.43	9.53	9.60
