0,u,v,w
-20_-9_-11',0.0463084010851608,0.10178538356855,0.0923462594380003
-20_-9_-10',0.0377452428003192,0.0873748306003193,0.078304044754987
-20_-9_-9',0.04142502459993,0.0660057232638199,0.0645869042914339
-20_-9_-8',0.0266970459092265,0.0599491414266269,0.0505072242860191
-20_-9_-7',0.0269726807648915,0.0493911953933913,0.0417416142327576
-20_-9_-6',0.0271697725738776,0.0459673715749229,0.0373453397249634
-20_-9_-5',0.0221940362832006,0.042541307957352,0.0360247436374293
-20_-9_-4',0.0253422281164155,0.0427522546060774,0.0357004283831565
-20_-9_-3',0.0311011368548255,0.041278740283063,0.0306474117859297
-20_-9_-2',0.0311625170826791,0.0417664697989383,0.0317528286825821
-20_-9_-1',0.0344258420169239,0.040077057859353,0.0296145404717457
-20_-9_0',0.0352447816199734,0.0372520291595637,0.0301080932094069
-20_-9_1',0.0385602089999002,0.0367494926826216,0.0295619612995983
-20_-9_2',0.0419242294152616,0.0372903468682572,0.0317797501670886
-20_-9_3',0.0460135358335426,0.0388537212881394,0.0314915476299484
-20_-9_4',0.0475341085936106,0.041323804596978,0.0350027800625478
-20_-9_5',0.0596036689845214,0.0464037537870843,0.0398064250578099
-20_-9_6',0.0704859124048775,0.056055852348278,0.0450457701485828
-20_-9_7',0.0865882080095327,0.06545653409613,0.058897024820257
-20_-9_8',0.102909361597469,0.0793299995597874,0.0623544528732587
-20_-9_9',0.10353546821249,0.0953481688848821,0.0717695644858288
-20_-9_10',0.0953092778064548,0.173723218524425,0.124712146603461
-20_-9_11',0.14835847187236,0.245084870547979,0.160178815095334
-20_-9_12',0.116755001864186,0.247272165698087,0.127837777577627
-20_-9_13',0.162529193067302,0.243495968322898,0.140054265813952
-20_-9_14',0.122947206152892,0.273533672156058,0.0958969893097902
-20_-8_-15',0.0635457247315173,0.140908506146127,0.178172447374652
-20_-8_-14',0.0524826467507312,0.115954772415928,0.114103125305553
-20_-8_-13',0.0398069366045385,0.115763247882978,0.103364839890093
